ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
162,La Molina-?Masella-Alp2500,42.3427392,1.9562059,Spain,Europe,45,November - April,2531,1616,76,47,18,141,0,1010,19,13,1,33,39750,Yes,Yes,Yes,No
163,Lake Louise,51.4249668,-116.177535,Canada,North America,66,November - May,2637,1646,35,62,42,139,8,0,4,5,1,10,14040,Yes,Yes,No,No
164,Auron-Saint-Etienne-de-Tine?e-,44.2262702,6.9309839,France,Europe,34,December - April,1600,1150,60,45,30,135,8,440,7,9,3,19,25030,Yes,Yes,No,No
165,Powder Mountain,48.8773577,-120.7676146,United States,North America,67,November - April,2712,2101,30,50,55,135,0,0,3,6,0,9,13470,Yes,Yes,Yes,No
166,Keystone,41.9988889,-92.1979353,United States,North America,120,November - April,3651,2835,25,65,45,135,5,0,7,11,4,22,30500,Yes,Yes,Yes,No
167,Alta Badia,46.56467025,11.91021932,Italy,Europe,52,December - April,2550,1324,70,52,8,130,8,391,18,30,11,59,89327,Yes,Yes,No,No
168,Killington,43.67433,-72.7784445,United States,North America,90,November - May,1285,355,37,43,46,126,9,1500,5,15,3,23,41660,Yes,Yes,No,No
169,Copper Mountain,37.4781086,-90.3856733,United States,North America,89,November - April,3767,2926,30,40,56,126,0,0,7,15,1,23,29084,Yes,Yes,No,No
170,La Clusaz-?Manigod,45.883562,6.419691113,France,Europe,37,December - April,2477,1040,62,40,23,125,0,223,28,14,7,49,59346,Yes,Yes,Yes,No
171,Espace Villard Correnc?on-Villard-de-Lans-?Correnc?on-en-Vercors,45.044532,5.559564,France,Europe,36,December - April,2050,1050,50,50,25,125,0,339,18,7,3,28,26600,Yes,Yes,No,No
172,Val Cenis-Lanslevillard-?Lanslebourg-?Termignon,45.2768658,6.8170409,France,Europe,36,December - April,2800,1300,73,42,10,125,0,200,13,13,2,28,39824,Yes,Yes,Yes,No
173,Isola 2000,44.1869246,7.145441205,France,Europe,34,December - April,2603,1800,75,35,10,120,8,430,12,7,3,22,21807,Yes,Yes,Yes,No
174,Obersaxen-?Mundaun-?Val Lumnezia,46.7487613,9.1022712,Switzerland,Europe,51,December - April,2310,1201,60,40,20,120,15,297,10,9,0,19,20720,Yes,Yes,Yes,No
175,Les 7 Laux-Prapoutel-?Le Pleynet-?Pipay,45.2602174,6.033591377,France,Europe,36,December - April,2400,1350,46,36,38,120,0,200,15,8,1,24,32232,Yes,Yes,No,No
176,Corvatsch-?Furtschellas,46.4450516,9.819511761,Switzerland,Europe,69,November - May,3303,1797,13,89,17,119,9,0,5,6,3,14,18510,Yes,Yes,Yes,No
177,Sugarloaf,38.3481772,-76.0335483,United States,North America,81,November - April,1286,426,28,40,51,119,5,0,2,12,0,14,20720,Yes,Yes,No,No
178,Silver Star,45.015082,-75.6437706,Canada,North America,62,November - April,1915,1155,20,50,45,115,8,0,4,6,0,10,12000,Yes,Yes,Yes,No
179,Taos,36.4072377,-105.573284,United States,North America,84,November - April,3795,2805,27,28,58,113,0,0,4,11,0,15,17000,Yes,Yes,No,No
180,Nassfeld-Hermagor,46.58465625,13.24612886,Austria,Europe,46,December - April,2002,600,30,69,11,110,7,483,16,9,5,30,49386,Yes,Yes,Yes,No
181,Sunshine Village,51.08952535,-115.7622016,Canada,North America,66,November - May,2730,1660,25,50,34,109,8,2,2,9,1,12,20950,Yes,Yes,No,No
182,Mondole? Ski-Artesina-?Frabosa Soprana-?Prato Nevoso,44.249446,7.775081,Italy,Europe,33,Unknown,807,803,42,51,11,104,0,0,19,14,0,33,26068,Yes,Yes,Yes,No
183,Aletsch Arena-Riederalp-?Bettmeralp-?Fiesch Eggishorn,46.3895305,8.0609271,Switzerland,Europe,53,December - April,1845,759,42,50,12,104,4,258,18,8,12,38,41109,Yes,Yes,Yes,No
184,Bad Kleinkirchheim-?St. Oswald,46.8442215,13.7662406,Austria,Europe,47,December - April,2055,1087,18,77,8,103,7,800,17,7,4,28,31186,Yes,Yes,Yes,No
185,Snowbird,40.5807546,-111.6572955,United States,North America,99,November - May,3353,2365,27,38,38,103,5,0,2,10,1,13,17900,Yes,Yes,Yes,No
186,Bardonecchia,45.078339,6.703205,Italy,Europe,36,December - April,2694,1312,54,38,8,100,0,0,13,9,1,23,27588,Yes,Yes,No,No
187,Saint-Lary-Soulan,42.816936,0.3219538,France,Europe,42,December - April,1600,812,60,30,10,100,3,290,17,11,3,31,38733,Yes,Yes,Yes,No
188,Orcie?res Merlette 1850,44.6972064,6.3235516,France,Europe,34,December - April,2725,1850,55,38,7,100,0,0,20,7,3,30,29605,Yes,Yes,No,No
189,De?voluy-Superde?voluy-?La Joue du Loup,44.68440895,5.898484198,France,Europe,36,December - April,2450,1450,60,30,10,100,0,180,18,5,1,24,27646,Yes,Yes,No,No
190,Grand Tourmalet-?Pic du Midi-La Mongie-?Bare?ges,42.9087613,0.1674113,France,Europe,42,November - April,2500,1250,58,35,7,100,6,0,21,15,2,38,40231,Yes,Yes,No,No
191,Mt. Rose,40.369273,-74.7390499,United States,North America,93,November - April,2957,2407,20,30,50,100,3,0,2,6,0,8,15000,Yes,Yes,No,No
192,Mt. Buller,-37.2694615,146.4008688,Australia,Oceania,87,May - October,1790,1390,25,45,30,100,2,216,13,13,1,27,33600,Yes,Yes,Yes,Yes
193,Mt. Baker,48.7767701,-121.814566,United States,North America,50,November - May,1525,1070,24,45,31,100,3,0,2,8,0,10,15500,Yes,Yes,No,No
194,Alpine Meadows,39.1785177,-120.2276948,United States,North America,102,November - April,2632,2083,25,40,35,100,5,0,2,11,0,13,16200,Yes,Yes,No,No
195,Deer Valley,48.1815678,-117.3007731,United States,North America,109,December - April,2917,2003,27,41,32,100,3,0,3,20,1,24,46600,Yes,No,No,No
196,Perisher,-36.3961667,148.408582,Australia,Oceania,0,June - October,1605,1125,22,60,18,100,3,271,34,14,1,49,46975,Yes,Yes,Yes,Yes
197,Wolf Creek,42.6955158,-123.3952995,United States,North America,56,November - April,3628,3139,20,35,45,100,0,0,2,7,0,9,11200,Yes,No,No,No
198,Wenatchee-Mission Ridge,47.4234599,-120.310349,United States,North America,54,November - April,2078,1392,10,60,30,100,3,0,2,4,0,6,4910,Yes,No,Yes,No
199,Mt. Bachelor,43.9792818,-121.688365,United States,North America,79,November - May,2763,1737,15,25,60,100,4,0,2,11,0,13,25900,Yes,Yes,No,No
200,Northstar California Resort,39.274701,-120.12192,United States,North America,120,November - April,2624,1929,25,45,27,97,4,0,7,10,3,20,28002,Yes,Yes,No,No
201,Parsenn (Davos Klosters),46.842102,9.835342208,Switzerland,Europe,61,November - April,2844,810,20,60,16,96,12,169,4,6,8,18,26795,Yes,Yes,No,No
202,Schweitzer Mountain Resort,48.368467,-116.623291,United States,North America,66,November - April,1950,1206,20,40,35,95,4,0,2,7,0,9,14200,Yes,Yes,Yes,No
203,Heavenly,33.741419,-117.7555797,United States,North America,120,November - April,3060,2001,18,42,34,94,8,265,8,18,2,28,42790,Yes,Yes,No,No
204,Castle Mountain,51.3065203,-115.9455963,Canada,North America,50,December - April,2273,1410,9,20,65,94,5,0,3,4,1,8,6100,Yes,Yes,No,No
205,Oberau (Wildscho?nau),47.4234974,12.0307428,Austria,Europe,30,December - March,1130,900,1,0,1,2,0,0,2,0,0,2,1932,Yes,No,No,No
206,Loveland,40.3977612,-105.0749801,United States,North America,61,October - May,3871,3245,12,38,43,93,3,0,2,9,0,11,13000,Yes,Yes,No,No
207,Stratton,43.0428562,-72.9109334,United States,North America,90,November - April,1181,600,60,20,12,92,0,0,3,9,1,13,26900,Yes,Yes,Yes,No
208,Falls Creek,-36.878683,147.2441791,Australia,Oceania,87,June - September,1780,1500,15,65,12,92,3,0,6,8,0,14,19992,Yes,Yes,Yes,Yes
209,Bald Mountain-Sun Valley,43.6829549,-114.4019636,United States,North America,107,December - April,2788,1752,35,40,17,92,0,0,1,12,1,14,24500,Yes,No,No,No
210,Åre,63.4010888,13.0822241,Sweden,Europe,45,November - May,1274,380,45,38,8,91,6,0,27,5,4,36,39000,Yes,Yes,Yes,No
211,Whitefish Mountain Resort,48.48108275,-114.3578504,United States,North America,65,December - April,2078,1361,18,46,27,91,5,0,3,12,0,15,22600,Yes,Yes,Yes,No
212,Alto Sangro-Roccaraso-?Rivisondoli,41.848167,14.079594,Italy,Europe,41,December - April,2141,1309,37,32,20,89,0,0,11,11,4,26,36602,Yes,No,No,No
213,Chamrousse,45.1171487,5.893161879,France,Europe,34,December - April,2250,1400,45,35,10,90,0,78,8,7,1,16,24398,Yes,Yes,Yes,No
214,Valberg-?Beuil les Launes,44.0956228,6.9301384,France,Europe,32,December - April,2020,1412,45,35,10,90,0,400,22,7,0,29,25940,Yes,Yes,No,No
215,Mt. Hood Meadows,45.338708,-121.6655282,United States,North America,76,November - April,2225,1378,13,45,31,89,4,0,0,11,0,11,20603,Yes,Yes,Yes,No
216,Sugar Bowl,42.9932326,-115.2420141,United States,North America,98,November - April,2555,2098,15,40,34,89,4,0,2,12,1,15,25544,Yes,Yes,No,No
217,Mammoth Mountain,37.6307692,-119.032634,United States,North America,114,November - June,3369,2424,18,48,22,88,6,120,9,22,3,34,54830,Yes,Yes,No,No
218,Telluride,37.9374939,-107.812285,United States,North America,110,November - April,3815,2659,6,51,29,86,7,0,4,11,5,20,22638,Yes,Yes,No,No
219,Adelboden-?Lenk-Chuenisba?rgli-?Silleren-?Hahnenmoos-?Metsch,46.4927213,7.5587618,Switzerland,Europe,55,December - April,1260,1072,44,38,6,88,6,500,12,8,6,26,34620,Yes,Yes,Yes,No
220,Rinderberg-?Saanerslochgrat-?Horneggli-Zweisimmen-?Saanenmo?ser-?Scho?nried-?St. Stephan,46.9463748,8.0499977,Switzerland,Europe,54,December - April,2011,948,62,21,4,87,0,0,9,8,4,21,18360,Yes,Yes,Yes,No
221,Sugarbush,44.5417138,-73.9698685,United States,North America,83,November - April,1240,452,17,40,30,87,5,351,3,13,0,16,25652,Yes,Yes,No,No
222,Graukogel-Bad Gastein,47.1110862,13.15623357,Austria,Europe,36,December - March,2007,1079,3,6,2,11,0,0,1,2,0,3,3352,Yes,No,No,No
223,Marmot Basin-Jasper,52.8005917,-118.0833546,Canada,North America,60,November - April,2410,1698,26,26,34,86,5,0,1,6,0,7,11600,Yes,Yes,No,No
224,Les Portes du Mont-Blanc-Combloux-?Mege?ve le Jaillet-?La Giettaz,44.868928,5.594792482,France,Europe,35,December - April,1835,1113,28,50,7,85,0,0,16,8,1,25,29842,Yes,No,No,No
225,Purgatory-Durango,37.5558754,-107.7795294,United States,North America,76,November - April,3299,2680,15,40,30,85,0,0,2,9,0,11,16700,Yes,Yes,No,No
226,Le Grand Bornand,45.9418675,6.4271457,France,Europe,37,December - April,2100,1000,49,27,8,84,0,233,18,13,2,33,36904,Yes,Yes,Yes,No
227,Sunday River,44.4627415,-70.8196141,United States,North America,85,October - April,957,250,30,40,14,84,4,0,1,13,1,15,29950,Yes,Yes,Yes,No
228,Kaltenbach-Hochzillertal-?Hochfu?gen-SKi-optimal-,47.27705405,11.8486795,Austria,Europe,52,November - April,2378,600,28,41,13,82,11,400,22,12,5,39,59933,Yes,Yes,Yes,No
229,Shigakogen Mountain Resort,36.716356,138.492755,Japan,Asia,39,December - May,2307,1335,41,30,12,83,0,0,0,54,4,58,83750,Yes,Yes,Yes,No
230,Grimentz-?Zinal,46.1776631,7.5744978,Switzerland,Europe,51,December - April,2900,1570,26,28,26,80,0,96,13,5,3,21,19345,Yes,Yes,No,No
231,Kimberley,49.6850876,-115.9819477,Canada,North America,49,December - April,1982,1230,15,35,30,80,6,11,2,3,0,5,5452,Yes,Yes,Yes,No
232,Civetta-Alleghe-?Selva di Cadore-?Palafavera-?Zoldo,46.358117,12.05748586,Italy,Europe,43,December - April,2100,1000,30,44,6,80,0,100,10,10,3,23,33289,Yes,Yes,Yes,No
233,Ax les Thermes,42.7193597,1.8379765,France,Europe,37,December - April,1400,720,40,25,15,80,0,0,11,6,2,19,21320,Yes,Yes,No,No
234,Mzaar Kfardebian,33.9721286,35.8395666,Lebanon,Asia,51,Unknown,2465,1850,46,30,4,80,0,0,0,0,0,0,0,Yes,No,No,No
235,Yellowstone Club,45.6681984,-111.067446,United States,North America,0,November - April,3005,2182,30,30,20,80,4,0,4,11,0,15,14886,Yes,No,No,No
236,Damu?ls Mellau,47.314039,9.894201083,Austria,Europe,49,December - April,2050,690,37,39,1,77,7,130,10,13,2,25,37160,Yes,Yes,No,No
237,Mont Tremblant,46.11588,-74.5891426,Canada,North America,60,November - April,875,230,16,25,37,78,6,1041,3,8,3,14,24700,Yes,Yes,No,No
238,Smugglers' Notch,41.0514432,-85.3239218,United States,North America,65,November - April,1112,314,13,41,24,78,4,0,3,6,0,9,7053,Yes,Yes,No,No
239,Rosa Khutor,43.6709708,40.2970765,Russia,Europe,22,December - April,2320,940,30,26,21,77,7,450,6,11,10,27,49228,Yes,Yes,No,No
240,Zell am See,47.3239636,12.7963165,Austria,Europe,50,December - April,2000,760,30,28,19,77,6,450,9,10,8,27,48407,Yes,Yes,Yes,No
241,Cerler,42.5927404,0.5384221,Spain,Europe,42,December - April,2621,1505,35,27,14,76,0,0,10,9,0,19,20670,Yes,Yes,No,No
242,Jay Peak,47.6313713,-120.8295337,United States,North America,70,Unknown,1175,563,15,31,30,76,0,0,2,6,1,9,11675,Yes,No,No,No
243,Three Peaks Dolomites-Helm-?Stiergarten-?Rotwand-?Kreuzbergpass,46.731048,12.327947,Italy,Europe,51,November - April,2200,1130,17,39,18,74,4,250,20,4,6,30,21535,Yes,Yes,No,No
244,Puy St. Vincent,44.8279543,6.4926273,France,Europe,34,December - April,2677,1407,28,34,13,75,0,95,4,8,0,12,17155,Yes,Yes,Yes,No
245,Angel Fire,36.3930879,-105.2850091,United States,North America,62,December - March,3256,2591,40,28,7,75,4,0,2,5,0,7,7200,Yes,Yes,Yes,No
246,Folgaria-?Fiorentini,45.9149727,11.173015,Italy,Europe,40,December - April,1850,1200,36,32,5,73,3,280,13,17,0,30,35900,Yes,Yes,No,No
247,Titlis-Engelberg,46.8228773,8.400657035,Switzerland,Europe,57,October - May,3020,1000,34,26,12,72,12,180,7,6,7,20,23316,Yes,Yes,No,No
248,Trysil,61.3561472,12.36702596,Norway,Europe,46,October - May,1100,415,33,18,20,71,5,418,29,7,0,36,36182,Yes,Yes,Yes,No
249,Nauders am Reschenpass-Bergkastel,46.87101815,10.53500477,Austria,Europe,42,December - April,2850,1400,24,34,13,71,9,92,11,5,1,17,17651,Yes,Yes,No,No
250,Bridger Bowl-Bozeman,45.7032833,-111.0255228,United States,North America,49,December - April,2682,1860,20,26,25,71,5,0,1,8,0,9,11900,Yes,Yes,No,No
251,Brian Head,37.6927551,-112.8507766,United States,North America,59,November - April,3328,2926,22,24,25,71,0,0,3,8,0,11,13200,Yes,No,Yes,No
252,Grossarltal-?Dorfgastein,47.23837965,13.17939658,Austria,Europe,50,December - April,2033,850,25,43,1,69,8,0,7,8,5,20,29710,Yes,Yes,No,No
253,Thredbo,-36.5047751,148.3057091,Australia,Oceania,84,June - September,2037,1365,7,60,3,70,5,177,7,7,0,14,17050,Yes,Yes,No,Yes
254,Stowe,44.4654236,-72.6854695,United States,North America,106,November - April,1116,390,20,42,8,70,6,400,3,8,2,13,20300,Yes,Yes,Yes,No
255,Katschberg,47.0593103,13.615553,Austria,Europe,46,November - April,2220,1066,10,50,10,70,6,750,9,6,2,17,26458,Yes,Yes,Yes,No
256,Valfre?jus,45.162254,6.657267525,France,Europe,29,December - April,2737,1550,40,20,10,70,0,80,5,4,1,10,15800,Yes,Yes,No,No
257,Savognin,46.596957,9.5981493,Switzerland,Europe,50,December - April,2713,1200,32,38,0,70,11,100,10,2,1,13,14000,Yes,Yes,Yes,No
258,Scuol-Motta Naluns,46.811169,10.2726212,Switzerland,Europe,50,December - April,2785,1250,27,32,11,70,10,136,6,6,1,13,18000,Yes,Yes,No,No
259,Okemo,43.41769055,-72.69828454,United States,North America,86,November - April,1019,348,22,26,22,70,0,0,7,13,0,20,29050,Yes,Yes,Yes,No
260,Mont-Sainte-Anne-Beaupre?,47.0877219,-70.92606776,Canada,North America,52,November - April,800,175,15,33,21,69,4,0,4,4,1,9,13200,Yes,Yes,Yes,No
261,49 Degrees North Mountain Resort,48.300619,-117.562991,United States,North America,50,November - April,1760,1195,20,27,21,68,0,0,1,6,0,7,8250,Yes,No,No,No
262,Passo San Pellegrino-?Falcade,46.36726075,11.80236956,Italy,Europe,47,November - April,2513,1190,20,38,8,66,0,0,6,9,2,17,24030,Yes,Yes,No,No
263,Bear Valley,37.5688237,-120.1193489,United States,North America,67,December - April,2590,2011,17,27,23,67,0,0,2,8,0,10,11800,Yes,No,No,No
264,Apex Resort,49.3900432,-119.9047389,Canada,North America,52,December - April,2180,1575,8,33,26,67,5,8,2,2,0,4,4720,Yes,Yes,Yes,No
265,Brighton,39.983721,-104.8110775,United States,North America,67,November - April,3200,2668,10,18,38,66,0,0,1,6,0,7,13200,Yes,Yes,Yes,No
266,Piau Engaly,42.78020745,0.158613507,France,Europe,37,November - April,2560,1420,35,22,8,65,0,40,5,5,0,10,13615,Yes,Yes,No,No
267,Flumserberg,47.0828502,9.276589934,Switzerland,Europe,51,November - April,665,425,10,38,17,65,6,0,9,8,4,21,30867,Yes,Yes,Yes,No
268,Super Sauze,44.3578176,6.6855952,France,Europe,30,December - April,2450,1400,35,20,10,65,0,100,18,4,0,22,17948,Yes,Yes,No,No
269,Bukovel,48.353783,24.41283,Ukraine,Europe,32,November - May,1372,890,26,28,11,65,2,0,3,15,0,18,33839,Yes,Yes,Yes,No
270,La Norma,45.1772565,6.7195145,France,Europe,29,December - April,2750,1350,17,43,5,65,0,126,7,5,1,13,13290,Yes,Yes,No,No
271,Mt. Hood Skibowl,45.3018189,-121.7737856,United States,North America,45,November - April,1510,1120,15,15,35,65,3,0,5,4,0,9,6500,Yes,Yes,Yes,No
272,Kirkwood,38.5800713,-90.4069177,United States,North America,85,November - April,2987,2377,15,30,20,65,0,0,4,11,0,15,21420,Yes,Yes,No,No
273,Red Lodge Mountain,45.1907531,-109.3368732,United States,North America,45,November - April,2870,2138,11,30,24,65,0,0,1,6,0,7,10200,Yes,No,No,No
274,Solitude,40.6202462,-111.5919046,United States,North America,71,November - April,3000,2434,20,30,14,64,0,0,0,8,0,8,16400,Yes,No,No,No
275,Pal-?Arinsal-La Massana-Vallnord-,42.55464075,1.448789398,Andorra,Europe,37,December - April,1550,1230,31,24,8,63,7,296,15,12,4,31,37400,Yes,Yes,No,No
276,Arabba,46.4971763,11.8740902,Italy,Europe,49,December - April,2478,1602,32,22,8,62,4,620,3,16,4,23,43973,Yes,Yes,No,No
277,Wildkogel-Neukirchen-?Bramberg,47.2743375,12.29774135,Austria,Europe,44,December - April,2150,820,28,25,9,62,14,335,15,4,5,24,27388,Yes,Yes,Yes,No
278,Alyeska Resort-Girdwood,60.96188655,-149.0808696,United States,North America,68,November - April,840,70,14,31,17,62,4,0,2,6,1,9,11200,Yes,No,Yes,No
279,Hintertux Glacier,47.061277,11.665036,Austria,Europe,52,Year-round,3250,1500,14,35,11,60,7,260,10,6,6,22,38852,Yes,Yes,No,Yes
280,Disentis 3000,46.7041748,8.8549785,Switzerland,Europe,49,December - April,2833,1227,20,30,10,60,10,4,9,3,1,13,10990,Yes,Yes,No,No
281,Belalp-Blatten,46.3648823,7.9796899,Switzerland,Europe,49,December - April,3118,1322,20,20,20,60,0,0,8,3,2,13,13640,Yes,Yes,No,No
282,San Martino di Castrozza,46.2623377,11.802828,Italy,Europe,44,November - April,2357,1404,16,32,12,60,3,150,7,14,3,24,29859,Yes,Yes,Yes,No
283,Meiringen-Hasliberg,46.7468975,8.219472173,Switzerland,Europe,50,December - April,1055,600,20,34,6,60,8,75,6,4,5,15,16381,Yes,No,Yes,No
284,Toggenburg-Wildhaus-?Unterwasser-?Alt St. Johann,47.180949,9.32019222,Switzerland,Europe,52,December - April,2262,900,10,45,5,60,7,55,18,3,4,25,19956,Yes,Yes,Yes,No
285,Alpe di Siusi-Seiser Alm-,46.5639036,11.60457618,Italy,Europe,54,December - April,1669,1000,14,45,1,60,2,70,9,15,3,27,35624,Yes,Yes,No,No
286,Le Lioran,45.0912003,2.7503788,France,Europe,31,December - April,1850,1160,30,20,10,60,0,241,13,8,1,22,25195,Yes,Yes,Yes,No
287,Saint Luc-?Chandolin-Anniviers-,46.236536,7.627631245,Switzerland,Europe,47,December - April,3025,1655,20,30,10,60,0,104,11,3,1,15,10350,Yes,Yes,No,No
288,Les Karellis,45.2285712,6.4064649,France,Europe,27,December - April,2520,1600,26,25,9,60,0,98,10,6,0,16,17452,Yes,Yes,No,No
289,Peyragudes,42.7807436,0.45611311,France,Europe,40,December - April,2400,1600,30,26,4,60,0,230,8,9,0,17,22791,Yes,Yes,No,No
290,Leysin,46.3438701,7.0148403,Switzerland,Europe,45,December - April,2205,1250,43,15,2,60,0,72,8,7,1,16,12980,Yes,Yes,No,No
291,Gudauri,42.4765577,44.4770286,Georgia,Asia,14,December - April,3279,1990,22,28,10,60,0,29,7,6,1,14,15400,Yes,Yes,Yes,No
292,Mount Snow,42.9589685,-72.9237112,United States,North America,81,November - April,1095,585,6,46,8,60,0,254,6,14,0,20,27000,Yes,Yes,No,No
293,Mount Washington,49.7528282,-125.2963912,Canada,North America,64,December - April,1588,1083,12,21,27,60,3,0,5,5,0,10,11620,Yes,Yes,Yes,No
294,Ponte di Legno-Passo ?Tonale-?Presena Glacier-?Temu?-Pontedilegno-Tonale-,46.258603,10.508662,Italy,Europe,42,October - May,3016,1121,10,40,9,59,11,0,7,19,4,30,49825,Yes,Yes,Yes,No
295,Gore Mountain,40.2235948,-106.6575409,United States,North America,71,November - April,1097,304,6,28,23,57,4,0,5,9,1,15,21000,Yes,Yes,No,No
296,Eggli-?La Videmanette-Gstaad-?Saanen-?Rougemont,47.291778,9.1733641,Switzerland,Europe,54,December - March,2151,992,35,17,5,57,0,0,8,4,5,17,15363,Yes,No,No,No
297,Anze?re,46.2970711,7.3989488,Switzerland,Europe,46,December - April,2420,1500,12,37,9,58,0,120,10,3,1,14,12462,Yes,Yes,No,No
298,Borovets,42.2668301,23.6074324,Bulgaria,Europe,28,December - April,2560,1300,24,29,5,58,12,160,8,4,2,14,15800,Yes,Yes,Yes,No
299,Font-Romeu-?Bolque?re Pyre?ne?es 2000,42.5043981,2.0715162,France,Europe,38,December - April,2213,1650,30,19,9,58,0,535,15,8,1,24,27378,Yes,Yes,No,No
300,Oppdal,62.53517845,9.62330412,Norway,Europe,44,Unknown,1300,585,40,7,9,56,0,0,1,0,0,1,0,Yes,No,No,No
301,Bre?vent-?Fle?ge?re-Chamonix-,45.9479384,6.868594877,France,Europe,51,December - April,2525,1030,11,25,20,56,6,0,6,8,5,19,26734,Yes,Yes,No,No
302,Bretton Woods,44.2576311,-71.4413006,United States,North America,76,November - April,945,487,25,16,15,56,0,0,3,7,0,10,15406,Yes,Yes,Yes,No
303,Les Houches-?Saint-Gervais-Prarion-?Bellevue-Chamonix-,45.891508,6.799138,France,Europe,43,December - April,1000,584,25,25,5,55,4,133,5,8,3,16,19859,Yes,Yes,No,No
304,Ylla?s,67.5647092,24.2246252,Finland,Europe,42,November - May,718,200,21,28,6,55,3,36,27,1,1,29,28284,Yes,Yes,Yes,No
305,Belvedere-?Col Rodella-?Ciampac-?Buffaure-Canazei-?Campitello-?Alba-?Pozza di Fassa,45.6850704,11.7729604,Italy,Europe,48,December - April,2428,1320,7,40,7,54,6,0,11,18,10,39,56216,Yes,Yes,Yes,No
306,Revelstoke Mountain Resort,50.9692628,-118.1092086,Canada,North America,64,December - April,2225,512,16,18,21,55,15,0,2,2,7,11,9200,Yes,Yes,No,No
307,Lauchernalp-Lo?tschental,46.41274665,7.774925326,Switzerland,Europe,48,April,3111,1419,20,17,18,55,10,28,2,2,2,6,6800,Yes,Yes,No,No
308,Grossglockner Heiligenblut,47.0745464,12.6938826,Austria,Europe,44,December - April,2989,1301,20,34,1,55,7,60,8,1,4,13,12500,Yes,No,No,No
309,Brandnertal-Brand-?Bu?rserberg,47.119176,9.7578764,Austria,Europe,46,December - April,2000,904,22,30,3,55,5,82,6,6,3,15,18963,Yes,Yes,Yes,No
310,Alpe du Grand-Serre-La Morte,45.0274177,5.8581966,France,Europe,27,December - March,2184,1367,36,17,2,55,0,0,12,3,0,15,13486,Yes,Yes,No,No
311,Les Angles,43.0835762,0.0062129,France,Europe,38,November - April,2376,1600,22,23,10,55,0,363,15,4,1,20,21787,Yes,Yes,Yes,No
312,Kopaonik,43.2689885,20.826741,Serbia,Europe,30,December - April,2017,1057,30,19,6,55,0,315,14,13,0,27,35052,Yes,Yes,Yes,No
313,Aussois,45.2275415,6.7413988,France,Europe,29,December - April,2750,1500,30,22,3,55,0,130,4,4,0,8,9228,Yes,Yes,No,No
314,Apache,35.214632,-109.4786676,United States,North America,48,Unknown,3475,2926,12,18,25,55,0,0,2,8,1,11,15800,Yes,No,No,No
315,Erciyes-Kayseri,38.5327397,35.4502248,Turkey,Asia,17,December - April,3360,2100,18,29,7,54,0,82,4,11,2,17,23800,Yes,No,No,No
316,Hunter Mountain,42.1778662,-74.2304216,United States,North America,68,Unknown,975,487,18,18,19,55,0,0,4,9,0,13,15910,Yes,No,No,No
317,First-Grindelwald,46.6504815,8.065073279,Switzerland,Europe,55,December - March,2501,1050,30,15,8,53,6,38,3,3,3,9,12720,Yes,Yes,No,No
318,So?renberg-Rothorn-?Dorf,46.8221657,8.0349311,Switzerland,Europe,44,December - April,2350,1110,30,15,8,53,0,0,12,3,2,17,20930,Yes,Yes,Yes,No
319,Riserva Bianca-Limone Piemonte,44.1853305,7.581660887,Italy,Europe,34,December - April,2060,1046,11,35,5,51,0,0,5,11,1,17,20655,Yes,No,No,No
320,Eldora Mountain,37.3862661,-122.0726046,United States,North America,80,November - April,3292,2804,11,26,15,52,0,0,3,8,0,11,13020,Yes,Yes,Yes,No
321,Donner Ski Ranch,39.3188801,-120.331067,United States,North America,59,December - April,2371,2142,13,26,13,52,2,0,0,6,0,6,6500,Yes,No,No,No
322,Las Len?as,-35.1455071,-70.0820619,Argentina,South America,44,June - September,3430,2200,5,12,35,52,0,0,7,7,0,14,13340,Yes,Yes,Yes,Yes
323,Happo-One-Hakuba,36.7035607,137.8226173,Japan,Asia,40,December - May,1831,760,16,26,10,52,0,0,0,21,1,22,29100,Yes,Yes,Yes,No
324,Gitschberg Jochtal,46.82666885,11.6645207,Italy,Europe,46,December - April,1354,772,17,25,9,51,6,90,14,4,6,24,23617,Yes,Yes,No,No
325,Schilthorn-Mu?rren-?Lauterbrunnen,46.55744425,7.892432481,Switzerland,Europe,55,December - April,2970,796,19,23,9,51,15,38,3,7,6,16,13852,Yes,Yes,No,No
326,Dachstein West,47.5149184,13.4498696,Austria,Europe,42,December - April,1620,780,15,33,3,51,4,163,25,8,3,36,32938,Yes,Yes,Yes,No
327,Cypress Mountain,49.3976802,-123.2011443,Canada,North America,44,November - April,1440,824,6,22,22,50,4,42,1,6,0,7,10300,Yes,Yes,Yes,No
328,Pila,45.7699441,8.0810802,Italy,Europe,42,November - April,1540,570,8,35,6,49,0,480,5,8,4,17,22154,Yes,Yes,No,No
329,Brigels-?Waltensburg-?Andiast,46.7700497,9.067384,Switzerland,Europe,49,December - March,2418,1110,13,33,3,49,7,100,9,4,0,13,10030,Yes,Yes,Yes,No
